,sna,tot,sbi,sarea,mday,ar,bemp,act
544,YouBike2.0_市民林森路口,29,2,中山區,2023-06-10 14:05:15,市民大道二段/林森北路(東北側),27,1
545,YouBike2.0_南京新生路口,30,4,中山區,2023-06-10 14:14:14,新生北路一段/南京東路一段口(橋墩下方),26,1
547,YouBike2.0_松江公園,25,1,中山區,2023-06-10 14:14:14,松江路/松江路84巷(西北側路側),24,1
548,YouBike2.0_新生長春路口,20,3,中山區,2023-06-10 13:59:14,新生北路二段/新生北路二段68巷交叉口(新生橋下),17,1
549,YouBike2.0_第二果菜批發市場,28,5,中山區,2023-06-10 14:19:14,民族東路410巷2弄18號(東側),23,1
554,YouBike2.0_建國長春路口,16,2,中山區,2023-06-10 14:19:14,建國北路/長春路口(南側),14,1
555,YouBike2.0_南京建國路口,42,3,中山區,2023-06-10 14:15:15,南京東路二段/建國北路二段(北側),39,1
558,YouBike2.0_中吉公園,15,1,中山區,2023-06-10 14:09:14,松江路170巷20號對側,14,1
559,YouBike2.0_華山公園,19,4,中山區,2023-06-10 14:14:14,市民大道與長安東路一段52巷口,15,1
560,YouBike2.0_建國北路一段17巷,45,0,中山區,2023-06-10 10:16:04,建國北路一段17巷/八德路二段137巷口,45,1
563,YouBike2.0_捷運中山國小站(2號出口),59,5,中山區,2023-06-10 14:18:14,捷運中山國小站(2號出口)後方,54,1
565,YouBike2.0_林森農安街口,17,2,中山區,2023-06-10 14:19:14,林森北路582號(前),15,1
566,YouBike2.0_捷運中山國小站(4號出口),20,0,中山區,2023-06-10 13:57:04,民權東路一段/民權東路一段71巷口,20,1
568,YouBike2.0_新生德惠街口,15,0,中山區,2023-06-10 13:50:10,新生北路三段76號對側,15,1
569,YouBike2.0_民族林森路口,20,3,中山區,2023-06-10 14:14:14,民族東路17號前,17,1
572,YouBike2.0_新生高架停車場(林森北路107巷口),14,2,中山區,2023-06-10 14:15:15,新生北路一段與林森北路107巷口(新生高架橋下),12,1
574,YouBike2.0_仁德公園,18,5,中山區,2023-06-10 14:00:54,吉林路108巷與南京東路二段21巷口東南側,13,1
580,YouBike2.0_松江路431巷口,15,1,中山區,2023-06-10 13:59:03,松江路433號前,14,1
581,YouBike2.0_新喜公園,13,0,中山區,2023-06-10 14:05:04,德惠街170巷22號對側,13,1
582,YouBike2.0_吉林路407巷口,15,2,中山區,2023-06-10 14:18:14,吉林路401號前,12,1
585,YouBike2.0_中山公民會館,20,5,中山區,2023-06-10 14:03:15,中山北路二段128巷口,15,1
586,YouBike2.0_渭水八德路口,23,3,中山區,2023-06-10 14:15:15,渭水路54號對側,20,1
589,YouBike2.0_新生公園,16,1,中山區,2023-06-10 14:14:14,民族東路/吉林路口(西北側),15,1
591,YouBike2.0_林森長春路口,28,3,中山區,2023-06-10 14:15:15,長春路29號前,24,1
593,YouBike2.0_松江路77巷口,10,2,中山區,2023-06-10 14:19:14,松江路77巷口,8,1
594,YouBike2.0_建國長安路口,20,5,中山區,2023-06-10 14:16:15,建國北路一段與長安東路二段口北側,15,1
595,YouBike2.0_市民新生路口,15,5,中山區,2023-06-10 13:36:15,新生北路一段36號前,10,1
596,YouBike2.0_民權吉林路口,15,3,中山區,2023-06-10 14:09:14,民權東路二段51號前,11,1
597,YouBike2.0_中山農安街口,17,3,中山區,2023-06-10 14:19:14,中山北路三段25號前,14,1
599,YouBike2.0_中吉公園(松江路188巷),22,3,中山區,2023-06-10 14:10:20,松江路188巷11號對側,19,1
601,YouBike2.0_中原民生路口,15,3,中山區,2023-06-10 14:15:15,民生東路二段33號旁,12,1
602,YouBike2.0_國立臺北大學(臺北校區),38,0,中山區,2023-06-10 13:53:04,民生東路三段67號前,38,1
603,YouBike2.0_錦州吉林路口,20,0,中山區,2023-06-10 14:17:28,錦州街174號前,20,1
606,YouBike2.0_新生錦州街口,20,1,中山區,2023-06-10 14:19:03,新生北路二段100號前,19,1
608,YouBike2.0_大佳社區公園,15,0,中山區,2023-06-10 11:41:04,濱江街154巷對側,15,1
611,YouBike2.0_復興北路514巷口東側,10,4,中山區,2023-06-10 14:19:14,復興北路514巷66號前側,6,1
612,YouBike2.0_台泥大樓,18,2,中山區,2023-06-10 14:18:14,中山北路二段113-133號前,16,1
613,YouBike2.0_植福樂群路口,10,4,中山區,2023-06-10 13:01:01,植福路/樂群三路(西北側),6,1
614,YouBike2.0_新興公園,20,2,中山區,2023-06-10 14:19:14,錦州街13巷/中山北路二段137巷口(東南側),18,1
615,YouBike2.0_南京伊通街口,11,3,中山區,2023-06-10 14:18:14,南京東路二段178-1號,8,1
616,YouBike2.0_南京龍江路口,15,1,中山區,2023-06-10 14:15:15,南京東路三段121號前,14,1
620,YouBike2.0_捷運松江南京站(4號出口),32,1,中山區,2023-06-10 14:17:28,松江路95-1至109號前方,31,1
622,YouBike2.0_長春路137巷口,16,5,中山區,2023-06-10 14:11:15,民生東路二段134號前,11,1
624,YouBike2.0_松江路132巷口,14,1,中山區,2023-06-10 13:55:24,吉林路100號對側,13,1
625,YouBike2.0_長春吉林路口,10,1,中山區,2023-06-10 13:28:14,長春路120號前,9,1
626,YouBike2.0_長春一江街口,11,3,中山區,2023-06-10 14:19:14,長春路135號前,8,1
628,YouBike2.0_南京一江街口,10,5,中山區,2023-06-10 13:57:14,南京東路二段85號前,5,1
629,YouBike2.0_松江長春路口,16,3,中山區,2023-06-10 14:06:15,松江路158號前,13,1
630,YouBike2.0_經國七海文化園區,15,3,中山區,2023-06-10 13:19:14,北安路301號前,12,1
631,YouBike2.0_民族玉門街口,20,1,中山區,2023-06-10 14:16:03,民族西路口與玉門街口東北側,19,1
632,YouBike2.0_新生農安街口,15,0,中山區,2023-06-10 13:13:04,新生北路三段與農安街口(高架橋下),15,1
633,YouBike2.0_稻江高級護理家事職業學校,14,0,中山區,2023-06-10 14:08:04,農安街77巷與農安街77巷1弄口,14,1
634,YouBike2.0_捷運大直站(3號出口)_1,18,5,中山區,2023-06-10 14:07:14,北安路458巷41弄52之1號前,13,1
635,YouBike2.0_樂群二明水路口_1,20,4,中山區,2023-06-10 14:11:15,樂群二路 / 明水路口(東側),16,1
636,YouBike2.0_民權吉林路口(南側),16,1,中山區,2023-06-10 14:16:15,民權東路二段46號前,15,1
637,YouBike2.0_長春龍江路口,24,4,中山區,2023-06-10 14:04:14,長春路與龍江路口西北側,20,1
639,YouBike2.0_建國長春路口(北側),20,1,中山區,2023-06-10 14:06:15,建國北路/長春路口(北側),19,1
640,YouBike2.0_中山行政中心,24,3,中山區,2023-06-10 14:18:14,松江路/農安街口,21,1
642,YouBike2.0_劍潭社區_1,18,4,中山區,2023-06-10 14:07:04,通北街143號前,14,1
643,YouBike2.0_濱江國小游泳池,16,1,中山區,2023-06-10 13:40:21,樂群二路266巷99號前,15,1
646,YouBike2.0_復華公園,20,2,中山區,2023-06-10 14:08:15,南京東路三段109巷/龍江路120巷,18,1
647,YouBike2.0_新生民族路口(西南側),15,1,中山區,2023-06-10 14:14:14,新生北路三段/民族東路(西南側),14,1
649,YouBike2.0_八德市場(北側),16,2,中山區,2023-06-10 14:12:14,建國南路一段/市民大道交叉口(北側),14,1
650,YouBike2.0_龍江朱崙街口,14,2,中山區,2023-06-10 14:17:38,龍江路/朱崙街口西北側,12,1
651,YouBike2.0_大直街94巷,15,4,中山區,2023-06-10 13:55:24,大直街94巷口,11,1
652,YouBike2.0_捷運南京復興站(8號出口),25,2,中山區,2023-06-10 14:17:38,南京東路三段221號前,23,1
654,YouBike2.0_林森德惠街口,16,1,中山區,2023-06-10 14:19:03,德惠街11號東側,15,1
657,YouBike2.0_新生長春路口(東北側),19,2,中山區,2023-06-10 14:06:15,新生北路二段39-2號對側,17,1
659,YouBike2.0_敬業三樂群三路口(西北側),16,2,中山區,2023-06-10 14:18:14,敬業三路/樂群三路口,14,1
660,YouBike2.0_長春路258巷2弄口,15,2,中山區,2023-06-10 14:09:14,長春路258巷6號北側,13,1
661,YouBike2.0_長寧大廈社區(南側),15,1,中山區,2023-06-10 14:08:15,遼寧街201巷13號前,14,1
664,YouBike2.0_市民安東街口,20,2,中山區,2023-06-10 14:00:54,市民大道三段179號前,18,1
665,YouBike2.0_市民大道二段5巷口,15,0,中山區,2023-06-10 13:35:04,市民大道二段/市民大道二段5巷,15,1
667,YouBike2.0_北勢湖環保公園,15,0,內湖區,2023-06-10 14:00:41,內湖路一段66-72號前方公園,15,1
668,YouBike2.0_洲子一號公園,43,4,內湖區,2023-06-10 14:06:15,基湖路37號西側,33,1
669,YouBike2.0_西康公園,16,0,內湖區,2023-06-10 14:00:41,內湖路一段225巷口,16,1
670,YouBike2.0_文湖國小,31,4,內湖區,2023-06-10 14:19:14,文湖街21巷口北側,27,1
671,YouBike2.0_文湖街81巷10號西側,14,3,內湖區,2023-06-10 13:53:16,文湖街81巷10號西側,11,1
672,YouBike2.0_德明財經科技大學,27,1,內湖區,2023-06-10 14:11:15,環山路一段56號南側,26,1
674,YouBike2.0_麗山高中,25,4,內湖區,2023-06-10 13:14:14,環山路二段141號北側,21,1
675,YouBike2.0_港華五號公園,16,5,內湖區,2023-06-10 12:34:15,環山路二段81號西北側,11,1
676,YouBike2.0_大湖國小,25,0,內湖區,2023-06-10 14:17:28,大湖山莊街/大湖山莊街176巷(東南側),25,1
677,YouBike2.0_安湖三號公園,12,2,內湖區,2023-06-10 14:14:14,東湖路113巷49弄3號北側,10,1
678,YouBike2.0_東湖路113巷95弄,10,4,內湖區,2023-06-10 12:46:17,東湖路113巷95弄13號西側,6,1
679,YouBike2.0_瑞光計程車服務站,20,4,內湖區,2023-06-10 14:08:15,港墘路221巷2號,16,1
680,YouBike2.0_文德三號公園(江南街71巷16弄),15,0,內湖區,2023-06-10 14:16:03,瑞光路271號東南側,15,1
682,YouBike2.0_康寧星雲街口,12,5,內湖區,2023-06-10 13:43:14,康寧路一段116號,7,1
683,YouBike2.0_星雲街47號,15,3,內湖區,2023-06-10 14:17:39,星雲街47號南側,12,1
684,YouBike2.0_捷運西湖站(1號出口),35,0,內湖區,2023-06-10 14:19:03,內湖路一段285巷15號(對面),34,1
685,YouBike2.0_捷運西湖站(2號出口),12,5,內湖區,2023-06-10 14:09:14,內湖路一段291號(對面),7,1
687,YouBike2.0_港都公園,15,2,內湖區,2023-06-10 14:19:14,港華街57號(對面),13,1
688,YouBike2.0_環山路二段26巷口,29,1,內湖區,2023-06-10 14:18:14,環山路二段/環山路二段26巷(西南側),28,1
695,YouBike2.0_文德二號公園(北側),15,4,內湖區,2023-06-10 14:15:15,文德路210巷12號對側,11,1
696,YouBike2.0_瑞陽公園,12,2,內湖區,2023-06-10 14:04:14,文德路22巷6號(對面),10,1
698,YouBike2.0_潭美街213號,12,1,內湖區,2023-06-10 13:58:04,潭美街213號南側,11,1
701,YouBike2.0_新明路343號,10,5,內湖區,2023-06-10 12:34:15,新明路341號北側,5,1
703,YouBike2.0_內湖行政中心,25,2,內湖區,2023-06-10 13:10:22,民權東路六段99號(前),23,1
704,YouBike2.0_樂康公園,20,5,內湖區,2023-06-10 12:36:17,康樂街61巷73弄22-1號南側,15,1
705,YouBike2.0_安康路32巷24弄,21,4,內湖區,2023-06-10 12:32:15,安康路32巷24弄22號,17,1
707,YouBike2.0_南京東路六段368巷,33,3,內湖區,2023-06-10 12:46:17,南京東路六段382號西南側,30,1
709,YouBike2.0_民權瑞光路口,20,2,內湖區,2023-06-10 12:46:17,民權東路六段50號,18,1
711,YouBike2.0_民權東路六段15巷,17,5,內湖區,2023-06-10 14:00:54,民權東路六段15巷29號,12,1
712,YouBike2.0_扶輪親恩公園,17,2,內湖區,2023-06-10 14:17:39,民權東路六段30號,15,1
717,YouBike2.0_福華商場,20,1,內湖區,2023-06-10 14:16:03,民權東路六段/民權東路六段180巷(西南側),19,1
718,YouBike2.0_臺北市網球中心,16,3,內湖區,2023-06-10 14:08:15,民權東路六段208號(前),13,1
720,YouBike2.0_麗湖國小,18,5,內湖區,2023-06-10 13:47:14,金湖路363巷11號(對面),13,1
721,YouBike2.0_金湖路347巷125弄口,15,0,內湖區,2023-06-10 13:38:04,金湖路347巷125弄1號(對面),15,1
722,YouBike2.0_碧湖公園,15,3,內湖區,2023-06-10 14:19:14,內湖路二段/內湖路二段103巷口(東北側),12,1
723,YouBike2.0_碧湖公園(內湖路二段103巷),19,2,內湖區,2023-06-10 14:09:14,內湖路二段103巷76號(對面),17,1
724,YouBike2.0_貿七社區,17,5,內湖區,2023-06-10 14:18:14,內湖路二段179巷48弄17號(旁),12,1
725,YouBike2.0_內湖區農會,12,0,內湖區,2023-06-10 14:14:04,內湖路二段334號(前),12,1
728,YouBike2.0_康寧路一段156巷20弄口,17,4,內湖區,2023-06-10 13:11:16,康寧路一段156巷/康寧路一段156巷20弄(西側),13,1
730,YouBike2.0_安泰街83巷,20,4,內湖區,2023-06-10 14:18:14,安泰街83巷3號(對面),16,1
731,YouBike2.0_內溝溪生態展示館,8,4,內湖區,2023-06-10 14:03:15,康樂街236-3號(前),4,1
733,YouBike2.0_東湖國中,16,1,內湖區,2023-06-10 14:15:15,康樂街125巷4號(對面),15,1
734,YouBike2.0_石潭公園(安康路),20,4,內湖區,2023-06-10 13:22:14,安康路28號西北側,16,1
737,YouBike2.0_康寧路三段54巷口,15,5,內湖區,2023-06-10 11:21:17,康寧路三段54-5號西側,10,1
738,YouBike2.0_行善路25巷口,21,3,內湖區,2023-06-10 14:19:14,行善路39號(前),18,1
740,YouBike2.0_下灣公園,16,4,內湖區,2023-06-10 12:21:17,民權東路六段206巷/民權東路六段190巷75弄(西北側),12,1
747,YouBike2.0_星雲街138巷1弄口,15,4,內湖區,2023-06-10 14:19:14,星雲街138巷18號,11,1
748,YouBike2.0_東湖一號公園,10,2,內湖區,2023-06-10 14:19:14,康寧路三段189巷163弄13號東南側,8,1
750,YouBike2.0_康湖二號公園(康寧醫院),16,4,內湖區,2023-06-10 14:19:14,成功路五段420巷17號東側,12,1
752,YouBike2.0_下灣公園(成功路),16,3,內湖區,2023-06-10 13:36:15,成功路二段189號北側,13,1
753,YouBike2.0_舊宗行善路口,9,3,內湖區,2023-06-10 13:43:14,行善路179號西側,6,1
755,YouBike2.0_成功路四段41巷口,12,2,內湖區,2023-06-10 13:14:14,成功路四段41巷6號前側,10,1
756,YouBike2.0_金湖星雲街口,30,2,內湖區,2023-06-10 12:09:14,金湖路83號對側,28,1
757,YouBike2.0_國防醫學院,15,0,內湖區,2023-06-10 12:37:04,民權東路六段161號前側,15,1
760,YouBike2.0_九華公園,16,2,內湖區,2023-06-10 14:03:15,文湖街21巷68弄25-6號北側,14,1
761,YouBike2.0_內湖路二段179巷口,16,2,內湖區,2023-06-10 14:06:15,內湖路二段179巷242號對側,14,1
762,YouBike2.0_行善行愛路口,12,0,內湖區,2023-06-10 12:58:05,行善路243號(前),12,1
767,YouBike2.0_西康二號公園,21,2,內湖區,2023-06-10 14:15:15,文湖街60巷/環山路一段24巷(北側),19,1
768,YouBike2.0_三民國中(民權東路六段47巷),13,0,內湖區,2023-06-10 13:57:04,民權東路六段47巷6號對側,13,1
769,YouBike2.0_瑞光路76巷口,12,4,內湖區,2023-06-10 12:26:16,瑞光路102號前,8,1
771,YouBike2.0_新湖國小,12,1,內湖區,2023-06-10 12:23:04,民權東路六段/成功路二段320巷31弄(東南側),11,1
775,YouBike2.0_宏匯瑞光廣場(港墘路),20,4,內湖區,2023-06-10 14:05:15,瑞光路355號前(港墘路側人行道),16,1
776,YouBike2.0_康樂街151巷,14,3,內湖區,2023-06-10 14:15:15,康樂街151巷/康樂街,11,1
777,YouBike2.0_內湖路一段360巷,15,1,內湖區,2023-06-10 13:53:04,內湖路一段358號,14,1
778,YouBike2.0_成功路三段83號前,11,0,內湖區,2023-06-10 13:58:04,成功路三段83號前,11,1
779,YouBike2.0_內湖路一段47巷,16,5,內湖區,2023-06-10 14:16:15,內湖路一段47巷/內湖路一段47巷22弄,11,1
780,YouBike2.0_陽光舊宗路口,20,3,內湖區,2023-06-10 13:44:14,陽光街/舊宗路二段,17,1
781,YouBike2.0_安湖公園,8,3,內湖區,2023-06-10 12:21:17,東湖路113巷95弄/康寧路三段75巷,5,1
782,YouBike2.0_湖興公園,16,2,內湖區,2023-06-10 14:07:15,成功路二段250巷23弄/成功路二段312巷,14,1
783,YouBike2.0_安泰街(康樂橋下),15,2,內湖區,2023-06-10 14:14:14,安泰街(康樂橋下),13,1
784,YouBike2.0_康樂綠地,15,1,內湖區,2023-06-10 14:12:14,康樂街191巷/康樂街,14,1
786,YouBike2.0_明美公園(行善路333巷),16,1,內湖區,2023-06-10 13:05:16,行善路333巷92號前,15,1
790,YouBike2.0_內湖路三段326巷口,15,2,內湖區,2023-06-10 14:02:14,內湖路三段326巷/內湖路三段,13,1
791,YouBike2.0_成功公園,11,5,內湖區,2023-06-10 09:54:17,成功路四段223巷/成功路四段223巷6弄,6,1
793,YouBike2.0_中國醫藥大學附設醫院臺北分院,13,2,內湖區,2023-06-10 14:17:39,內湖路二段368號對側,11,1
794,YouBike2.0_康樂抽水站,15,2,內湖區,2023-06-10 11:45:17,東湖路160巷23號,13,1
795,YouBike2.0_環山路三段16巷口,13,1,內湖區,2023-06-10 13:06:15,環山路三段/環山路三段16巷口(東南側),12,1
799,YouBike2.0_康寧路三段99巷17弄口,15,2,內湖區,2023-06-10 14:02:14,康寧路三段99巷19號對側,13,1
800,YouBike2.0_堤頂大道二段407巷口,15,1,內湖區,2023-06-10 10:12:15,堤頂大道二段405號前,14,1
801,YouBike2.0_海德堡科技大樓,12,2,內湖區,2023-06-10 11:21:44,堤頂大道二段473號前,10,1
802,YouBike2.0_致伸科技大樓,17,0,內湖區,2023-06-09 17:54:05,瑞光路669號旁,17,1
803,YouBike2.0_內湖路一段288巷口,20,1,內湖區,2023-06-10 13:15:04,內湖路一段290號前,19,1
805,YouBike2.0_瑞湖公園,15,0,內湖區,2023-06-10 11:07:03,民權東路六段15巷/民權東路六段19巷,15,1
806,YouBike2.0_台灣世曦大樓,16,1,內湖區,2023-06-10 14:00:41,陽光街323號,15,1
807,YouBike2.0_遠雄時代總部,14,3,內湖區,2023-06-10 14:06:15,瑞光路423號,11,1
808,YouBike2.0_瑞光路358巷口,14,0,內湖區,2023-06-10 11:05:04,瑞光路/瑞光路358巷,14,1
810,YouBike2.0_世紀經貿,16,1,內湖區,2023-06-10 14:17:39,內湖路一段396號,15,1
811,YouBike2.0_民權東路六段56巷口,15,3,內湖區,2023-06-10 13:25:15,民權東路六段56巷7號對側,12,1
812,YouBike2.0_新湖三行忠路72巷口,15,0,內湖區,2023-06-10 10:46:04,新湖三路/行忠路72巷,15,1
813,YouBike2.0_新湖三新湖二146巷口,15,1,內湖區,2023-06-10 14:00:41,新湖三路122、124號對側,14,1
814,YouBike2.0_舊宗新湖二路口,17,5,內湖區,2023-06-10 13:58:14,舊宗路一段/新湖二路(南側),12,1
815,YouBike2.0_新光基湖大樓,19,1,內湖區,2023-06-10 10:00:55,基湖路12號,18,1
816,YouBike2.0_內湖路一段120巷15弄,19,3,內湖區,2023-06-10 13:25:15,內湖路一段120巷15弄8號對側,16,1
817,YouBike2.0_北勢湖環保公園(堤頂大道側),14,1,內湖區,2023-06-10 13:38:04,堤頂大道二段501號前,13,1
818,YouBike2.0_達爾文大樓,15,2,內湖區,2023-06-10 14:12:14,洲子街61號,13,1
821,YouBike2.0_榮華二明德路口,30,3,北投區,2023-06-10 14:14:14,明德路212號(榮華二路側人行道),27,1
827,YouBike2.0_關渡醫院,14,0,北投區,2023-06-10 13:04:04,知行路235巷7號(對面),14,1
828,YouBike2.0_捷運忠義站(1號出口),17,4,北投區,2023-06-10 13:59:14,中央北路四段262號(對面),13,1
830,YouBike2.0_捷運關渡站(2號出口),14,0,北投區,2023-06-10 14:17:28,捷運關渡站2號出口外人行道,14,1
832,YouBike2.0_大度立德路口,18,0,北投區,2023-06-10 14:14:04,大度路三段立德路口(西北側),18,1
834,YouBike2.0_捷運復興崗站旅客服務中心,15,0,北投區,2023-06-10 13:23:03,中央北路三段185號(前方),15,1
837,YouBike2.0_國防大學政治作戰學院,30,4,北投區,2023-06-10 14:18:14,中央北路二段167號(對面),25,1
843,YouBike2.0_八仙里辦公處,16,3,北投區,2023-06-10 13:38:14,北投路一段臨20號(旁),13,1
850,YouBike2.0_陽明大學,30,1,北投區,2023-06-10 14:19:03,東華街二段136號(對面),29,1
852,YouBike2.0_台北護理大學,28,2,北投區,2023-06-10 14:12:14,石牌路二段100號(前),26,1
855,YouBike2.0_石牌國小,26,2,北投區,2023-06-10 14:13:15,石牌路一段142號(對面),24,1
858,YouBike2.0_承德路七段280巷口,17,2,北投區,2023-06-10 13:53:16,承德路七段260號(前),15,1
860,YouBike2.0_榮富公園,13,3,北投區,2023-06-10 14:19:14,榮華三路2號(旁),10,1
862,YouBike2.0_立功立德路口,32,4,北投區,2023-06-10 14:14:14,立德路15號(前),28,1
863,YouBike2.0_中央北路四段30巷口,16,0,北投區,2023-06-10 12:45:05,中央北路四段32號(旁),16,1
865,YouBike2.0_捷運新北投站(2號出口),11,2,北投區,2023-06-10 14:19:14,光明路225號(對面),9,1
867,YouBike2.0_承德石牌路口,17,3,北投區,2023-06-10 14:09:14,承德路七段與石牌路一段口北側,13,1
868,YouBike2.0_承德路七段188巷口,16,3,北投區,2023-06-10 14:16:15,承德路七段192-198號前,13,1
872,YouBike2.0_中和街455巷11弄,13,2,北投區,2023-06-10 13:50:21,中和街455巷11弄6-8號(前),11,1
874,YouBike2.0_文化三杏林一路口,17,1,北投區,2023-06-10 14:17:28,杏林一路3號(旁),11,1
877,YouBike2.0_新奇岩社會住宅,12,5,北投區,2023-06-10 14:12:14,磺港路269-271號(旁),7,1
879,YouBike2.0_奇岩4號綠地,12,4,北投區,2023-06-10 13:50:21,三合街一段79巷16號(對面),8,1
881,YouBike2.0_奇岩一號公園,24,0,北投區,2023-06-10 14:02:04,磺港路/清江路177巷(東側),24,1
882,YouBike2.0_福星公園,18,2,北投區,2023-06-10 14:13:15,文林北路280號(對側公園),16,1
883,YouBike2.0_中庸公園,12,5,北投區,2023-06-10 14:15:16,珠海路1號旁,7,1
884,YouBike2.0_豐年公園_1,18,5,北投區,2023-06-10 14:03:15,大業路539號,13,1
885,YouBike2.0_光明溫泉路口,20,0,北投區,2023-06-10 14:10:09,光明路148號對側人行道,20,1
886,YouBike2.0_和信治癌中心醫院,18,1,北投區,2023-06-10 12:23:04,立德路125號,17,1
888,YouBike2.0_北投公園露天溫泉,15,1,北投區,2023-06-10 13:38:14,中山路6號西側(北投溪木道西側),14,1
889,YouBike2.0_中和街493巷9弄口,16,0,北投區,2023-06-10 13:36:04,中和街493巷9弄2號對側,16,1
891,YouBike2.0_石牌立農街口,29,3,北投區,2023-06-10 14:12:14,石牌路二段/立農街二段口,26,1
894,YouBike2.0_捷運忠義站(2號出口),20,2,北投區,2023-06-10 12:19:15,捷運忠義站(2號出口)無障礙坡道旁,18,1
897,YouBike2.0_華固創富中心,15,5,北投區,2023-06-10 01:12:14,承德路六段120號(北側地下室車道旁),10,1
899,YouBike2.0_北投文化公園(北側),15,2,北投區,2023-06-10 13:48:14,文化三路2號西側公園,13,1
900,YouBike2.0_捷運松山站(4號出口),19,5,松山區,2023-06-10 14:15:16,八德路四段742號,14,1
905,YouBike2.0_捷運南京三民站(1號出口),35,4,松山區,2023-06-10 14:19:14,捷運南京三民站(1號出口),31,1
907,YouBike2.0_捷運南京三民站(4號出口),13,2,松山區,2023-06-10 14:14:15,南京東路五段229號(前),11,1
908,YouBike2.0_西松高中,14,4,松山區,2023-06-10 13:50:21,健康路325巷5弄5號(前),10,1
909,YouBike2.0_民權復興路口,27,2,松山區,2023-06-10 14:15:16,民權東路三段119號(前),25,1
917,YouBike2.0_臺北市藝文推廣處,45,2,松山區,2023-06-10 14:13:15,八德路三段25號(前),43,1
922,YouBike2.0_民生光復路口,31,5,松山區,2023-06-10 14:06:16,光復北路266號(前),26,1
924,YouBike2.0_八德路三段74巷口,17,4,松山區,2023-06-10 14:17:39,八德路三段74巷95號南側,13,1
925,YouBike2.0_八德路三段8巷口,15,2,松山區,2023-06-10 14:14:15,市民大道四段123號,13,1
927,YouBike2.0_平安新城,16,5,松山區,2023-06-10 13:57:14,延壽街356巷/延壽街330巷16弄(東北側),11,1
928,YouBike2.0_健康社會住宅,20,1,松山區,2023-06-10 13:57:04,健康路305號(前),19,1
930,YouBike2.0_市民東興路口,25,3,松山區,2023-06-10 14:17:39,東興路33號南側,22,1
931,YouBike2.0_光復南路22巷口,29,4,松山區,2023-06-10 14:07:15,光復南路19號西側,25,1
935,YouBike2.0_南京光復路口,31,3,松山區,2023-06-10 14:15:16,南京東路四段186號前,28,1
940,YouBike2.0_中崙福成宮,27,3,松山區,2023-06-10 14:15:16,市民大道四段73號前,23,1
948,YouBike2.0_捷運松山站(2號出口),14,1,松山區,2023-06-10 13:56:16,八德路四段685號前,13,1
951,YouBike2.0_三民公園(塔悠路),20,5,松山區,2023-06-10 14:00:54,塔悠路/撫遠街261巷(西側),15,1
952,YouBike2.0_寶清公園,13,1,松山區,2023-06-10 13:39:14,寶清街/寶清街30巷(北側),12,1
953,YouBike2.0_西松公園,11,1,松山區,2023-06-10 13:49:14,健康路/南京東路五段251巷50弄(西側),10,1
954,YouBike2.0_長壽公園,15,3,松山區,2023-06-10 14:19:14,健康路174號(旁),12,1
956,YouBike2.0_南京東路四段179巷口,13,1,松山區,2023-06-10 13:02:15,南京東路四段163號(前),12,1
957,YouBike2.0_臺北田徑場(北寧路側),24,5,松山區,2023-06-10 14:15:16,八德路三段25號前,19,1
958,YouBike2.0_西松高中(健康路325巷),31,1,松山區,2023-06-10 14:10:20,健康路325巷 / 健康路325巷12弄口(東北側),30,1
959,YouBike2.0_南京東興路口,20,0,松山區,2023-06-10 14:04:04,南京東路五段 / 東興路口(北側),20,1
962,YouBike2.0_敦化南京路口(東北側),14,0,松山區,2023-06-10 14:15:05,敦化北路/南京東路四段,14,1
964,YouBike2.0_新東街51巷口,23,3,松山區,2023-06-10 14:00:54,三民路 / 新東街51巷口(東側),20,1
966,YouBike2.0_長春慶城街口,16,0,松山區,2023-06-10 13:57:04,長春路431號前,16,1
967,YouBike2.0_八德路四段652巷口,20,4,松山區,2023-06-10 13:35:14,八德路四段650號南側,16,1
969,YouBike2.0_捷運小巨蛋站(3號出口),15,1,松山區,2023-06-10 14:19:03,南京東路四段12號前,14,1
972,YouBike2.0_民生復興路口,17,0,松山區,2023-06-10 13:49:04,民生東路三段/復興北路(東南側),17,1
974,YouBike2.0_龍城市場,15,4,松山區,2023-06-10 14:03:15,光復北路190巷35號對側,11,1
977,YouBike2.0_五常街370巷,11,2,松山區,2023-06-10 14:17:39,五常街370巷8號,9,1
983,YouBike2.0_合樂公園,15,1,南港區,2023-06-10 14:19:14,玉成街46號東側,14,1
985,YouBike2.0_成德國中,26,5,南港區,2023-06-10 14:11:15,東新街118巷15號南側,21,1
991,YouBike2.0_中研公園,40,4,南港區,2023-06-10 14:18:14,研究院路二段12巷58弄9號西側,36,1
993,YouBike2.0_舊莊區民活動中心,18,1,南港區,2023-06-10 13:03:15,舊莊街一段91巷11號西南側,17,1
994,YouBike2.0_凌雲市場,20,4,南港區,2023-06-10 12:59:16,研究院路三段68巷9號北側,16,1
1001,YouBike2.0_向陽南港路口,21,0,南港區,2023-06-10 14:17:28,向陽路49號北側,21,1
1002,YouBike2.0_南港車站(忠孝東路七段415巷),11,5,南港區,2023-06-10 11:35:17,忠孝東路七段510號西北側,6,1
1018,YouBike2.0_南港高中(昆陽街),14,2,南港區,2023-06-10 12:48:16,昆陽街58號東側,12,1
