,sna,tot,sbi,sarea,mday,ar,bemp,act
127,YouBike2.0_辛亥新生路口西北側,12,0,大安區,2023-06-10 14:17:28,辛亥路一段/新生南路三段(西北側),12,1
128,YouBike2.0_捷運大安站(6號出口),19,1,大安區,2023-06-10 14:17:38,復興南路一段303號前,18,1
129,YouBike2.0_臥龍街195巷口,14,0,大安區,2023-06-10 14:07:04,臥龍街/臥龍街195巷(南側),14,1
130,YouBike2.0_辛亥路三段157巷口,19,2,大安區,2023-06-10 14:15:15,辛亥路三段與辛亥路三段157巷口西北側,17,1
131,YouBike2.0_臥龍基隆路口,16,4,大安區,2023-06-10 14:16:15,臥龍街與基隆路二段口東北側,12,1
132,YouBike2.0_敦親公園,20,4,大安區,2023-06-10 14:17:38,和平東路二段96巷8之1號(前方),16,1
133,YouBike2.0_大安運動中心,27,3,大安區,2023-06-10 14:16:15,辛亥路三段55號前方人行道(大安運動中心),24,1
139,YouBike2.0_市民復興路口(東南側),16,2,大安區,2023-06-10 14:11:15,市民大道四段/復興路一段口(東南側),14,1
147,YouBike2.0_捷運大安站(3號出口),44,2,大安區,2023-06-10 14:18:14,信義路三段184號前,42,1
148,YouBike2.0_捷運臺電大樓站(2號出口)_1,31,5,大安區,2023-06-10 13:43:14,羅斯福路三段201號旁,26,1
149,YouBike2.0_信義路四段199巷,15,0,大安區,2023-06-10 14:17:28,信義路四段199巷/安和路一段90巷口,15,1
157,YouBike2.0_和平東路二段18巷口,24,3,大安區,2023-06-10 14:12:14,辛亥路二段43號前,21,1
158,YouBike2.0_捷運大安站(5號出口),19,4,大安區,2023-06-10 14:17:38,復興南路二段/信義路四段(東南側),15,1
159,YouBike2.0_臨江公園,13,1,大安區,2023-06-10 13:34:03,通化街143巷33號對側,12,1
160,YouBike2.0_羅斯福路四段113巷19弄口,14,4,大安區,2023-06-10 13:42:14,羅斯福路四段119巷84號對側,10,1
162,YouBike2.0_仁愛延吉路口(西北側),18,4,大安區,2023-06-10 14:11:15,仁愛路四段363號前,14,1
165,YouBike2.0_敦化南路一段295巷口,18,2,大安區,2023-06-10 14:16:15,敦化南路一段295巷1號,16,1
170,YouBike2.0_重慶酒泉街口,30,1,大同區,2023-06-10 14:19:13,重慶北路三段260號前,29,1
171,YouBike2.0_樹德公園,14,1,大同區,2023-06-10 14:07:04,大龍街85巷12號對側,13,1
